"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"e71279e5-0fbe-4b4b-8164-b406a259c6d9","Ja'Marr","Chase","1.1","260.2","WR1","WR","Cincinnati Bengals",,
"5fb41bef-15a4-4648-bfb7-2587ee7672d7","Saquon","Barkley","2.2","284.7","RB1","RB","Philadelphia Eagles",,
"597ba7fd-bb7e-4146-9871-d884e2ed04b8","Bijan","Robinson","3.4","274.7","RB2","RB","Atlanta Falcons",,
"4fe918e1-cad5-45b9-a983-81c9b0f31e35","Justin","Jefferson","4.4","245.3","WR2","WR","Minnesota Vikings",,
"f3fb68ae-07a8-4832-9cbd-139bf43b919a","Jahmyr","Gibbs","4.8","273.3","RB3","RB","Detroit Lions",,
"7e20b10a-1710-41b3-8bd6-a3bb0b47f4fa","CeeDee","Lamb","6.3","236.6","WR3","WR","Dallas Cowboys",,
"efb11556-7600-4669-bd8f-d88cfe533e0b","Puka","Nacua","7.7","227.7","WR4","WR","Los Angeles Rams",,
"c1f44194-c491-4a2d-a0d9-f41e44183c30","Ashton","Jeanty","8.0","232.9","RB4","RB","Las Vegas Raiders",,
"2e5009a0-56bd-4e76-a345-b732b559e061","Malik","Nabers","9.3","215.7","WR5","WR","New York Giants",,
"988be62f-dae7-4ed1-bc9c-4adbba7eaca6","Amon-Ra","St. Brown","10.6","223.2","WR6","WR","Detroit Lions",,
"e0387cfb-8fa5-46ff-b27f-270ced686aa6","Derrick","Henry","12.2","262.0","RB5","RB","Baltimore Ravens",,
"18efc71e-2d04-430d-86bf-9084ffb0f99f","Nico","Collins","12.6","225.1","WR7","WR","Houston Texans",,
"8dbea8c1-fed8-4e07-9f1f-5e5eaf5c6241","Brian","Thomas","13.3","222.8","WR8","WR","Jacksonville Jaguars",,
"4c1df155-9cf5-48b0-bd0b-d728b595c558","Christian","McCaffrey","13.5","243.5","RB6","RB","San Francisco 49ers",,
"6ad95fe2-66e9-42ac-b384-9e31180ab6ea","Brock","Bowers","15.1","193.2","TE1","TE","Las Vegas Raiders",,
"f4a7865f-7a35-4203-8d25-0950246eccd6","De'Von","Achane","17.4","225.6","RB7","RB","Miami Dolphins",,
"7940fe0a-327b-4d28-a8ed-6032393c25ad","Drake","London","18.0","201.7","WR9","WR","Atlanta Falcons",,
"0635c7cc-f298-4313-b41e-20072cc37c95","A.J.","Brown","18.2","203.2","WR10","WR","Philadelphia Eagles",,
"0972ae4f-80b8-4d3e-a814-8238268c69ea","Josh","Allen","18.3","358.5","QB1","QB","Buffalo Bills",,
"5301cb3b-6079-4226-b186-0f21a9b796e1","Ladd","McConkey","20.5","203.0","WR11","WR","Los Angeles Chargers",,
"7da43066-2e3d-49ac-96c4-63e3197e5876","Josh","Jacobs","21.4","236.5","RB8","RB","Green Bay Packers",,
"00fdbfa5-db27-4555-b473-5709e1d643da","Lamar","Jackson","22.6","355.8","QB2","QB","Baltimore Ravens",,
"e8af45b4-7154-4694-a212-4c7a87c5e21e","Bucky","Irving","22.7","243.0","RB9","RB","Tampa Bay Buccaneers",,
"e9d1b647-e168-4dfb-9839-e376b09f1c34","Jonathan","Taylor","24.2","230.9","RB10","RB","Indianapolis Colts",,
"44136a31-9b18-410b-a75d-473ac6bb64c9","Tee","Higgins","26.6","181.2","WR12","WR","Cincinnati Bengals",,
"700f7f4e-1e12-4007-a2d2-1002a813efc2","Trey","McBride","27.7","185.5","TE2","TE","Arizona Cardinals",,
"7fabc436-cf9b-4be9-8d72-633e54d7d682","Tyreek","Hill","29.3","196.5","WR13","WR","Miami Dolphins",,
"574870b2-c6a8-4830-ad04-0dcf0afe3609","Jaxon","Smith-Njigba","30.8","180.1","WR14","WR","Seattle Seahawks",,
"9c650040-8e80-4e60-9945-b32f622f27bd","Terry","McLaurin","31.1","200.1","WR15","WR","Washington Commanders",,
"5181044f-e50d-45c5-98f4-95ba44160204","Marvin","Harrison","31.1","180.4","WR15","WR","Arizona Cardinals",,
"f1378e92-8121-431b-9b65-980db043df86","Jayden","Daniels","31.6","353.5","QB3","QB","Washington Commanders",,
"f46228d7-8fd6-4b09-914e-b0ec8d19257a","Garrett","Wilson","31.6","181.9","WR17","WR","New York Jets",,
"c7ceb6e9-42cf-4257-a882-eb5867336e63","Chase","Brown","32.6","199.5","RB11","RB","Cincinnati Bengals",,
"e2b6c206-f89e-49be-98e7-ee8d9a8c50cc","Kyren","Williams","33.4","212.5","RB12","RB","Los Angeles Rams",,
"83486a18-b451-4d4d-9a54-caf944b1171a","Davante","Adams","34.6","171.7","WR18","WR","Los Angeles Rams",,
"a8fe6052-d6b2-46d4-b7ce-4526ace3b5e8","Rashee","Rice","36.2","173.4","WR19","WR","Kansas City Chiefs",,
"4b3f646f-8574-4418-aa1b-61ededa99474","Joe","Burrow","37.3","329.5","QB4","QB","Cincinnati Bengals",,
"1a220d9a-9dd1-4f7c-9aa1-92eba12e86ee","Mike","Evans","38.3","194.8","WR20","WR","Tampa Bay Buccaneers",,
"4e4d40cc-43e6-49d1-86b0-d4275cf91e30","Breece","Hall","39.3","203.1","RB13","RB","New York Jets",,
"7cdf8872-033c-4ab3-9913-1cbf33f62513","Jalen","Hurts","40.4","345.1","QB5","QB","Philadelphia Eagles",,
"c89b1cfe-0c32-4fde-902e-517b5e860b89","George","Kittle","40.6","175.9","TE3","TE","San Francisco 49ers",,
"09893412-b80d-4b52-9d1c-e1d0453d0e33","Omarion","Hampton","41.3","197.4","RB14","RB","Los Angeles Chargers",,
