"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"70dc11ed-730a-4985-9641-d243ac7664d2","Josh","Allen","1.3","358.5","QB1","QB","Buffalo Bills",,
"e50c80ef-3cac-41c1-8695-f77a3a24223c","Lamar","Jackson","2.0","355.8","QB2","QB","Baltimore Ravens",,
"fac93a1f-2bef-4cb8-8ad1-fdcb87d1bb8d","Jayden","Daniels","3.0","353.5","QB3","QB","Washington Commanders",,
"105bcb5e-9d45-4bad-99b1-f0b89d45cc58","Jalen","Hurts","4.3","345.1","QB4","QB","Philadelphia Eagles",,
"33ee9330-5178-43c1-8999-9f2814bea70a","Ja'Marr","Chase","5.6","260.2","WR1","WR","Cincinnati Bengals",,
"83a17be6-f7df-4600-a6b8-9f8e737fb614","Joe","Burrow","5.8","329.5","QB5","QB","Cincinnati Bengals",,
"cbc6cb47-6e97-44a3-986c-195d2835e37e","Saquon","Barkley","7.5","284.7","RB1","RB","Philadelphia Eagles",,
"92c1123f-81ef-405e-bcec-35c56b82dc46","Bijan","Robinson","8.0","274.7","RB2","RB","Atlanta Falcons",,
"51fe5951-680f-42c5-a985-feedfd614012","Justin","Jefferson","9.7","245.3","WR2","WR","Minnesota Vikings",,
"38813bba-1495-4060-961f-56d41571b401","Patrick","Mahomes","10.1","320.3","QB6","QB","Kansas City Chiefs",,
"7dec90b6-d409-44e9-b297-6d6d0918f607","Jahmyr","Gibbs","11.2","273.3","RB3","RB","Detroit Lions",,
"dfa95b21-8772-454b-b4e8-9bc0d86abf4a","CeeDee","Lamb","12.7","236.6","WR3","WR","Dallas Cowboys",,
"26b9f823-3025-4ba5-b84c-ef728fa976ff","Baker","Mayfield","13.4","312.9","QB7","QB","Tampa Bay Buccaneers",,
"ea917a4b-d4c9-42fe-8423-5c7d025e5a3c","Christian","McCaffrey","14.9","243.5","RB4","RB","San Francisco 49ers",,
"923a191d-1fa5-462d-9780-5079171eef3b","Kyler","Murray","15.0","296.3","QB8","QB","Arizona Cardinals",,
"2f639bbb-6fdc-4785-b723-08320977c347","Bo","Nix","16.1","312.5","QB9","QB","Denver Broncos",,
"da7f810a-1b2a-4f2c-b5f8-6cf99e7c19c4","Ashton","Jeanty","16.8","232.9","RB5","RB","Las Vegas Raiders",,
"b35dfe30-0cf3-43e7-a53b-968e5c742e9a","Derrick","Henry","18.6","262.0","RB6","RB","Baltimore Ravens",,
"2b7321a5-c0f4-4e51-a4cc-bb6ea4702b15","Puka","Nacua","20.1","227.7","WR4","WR","Los Angeles Rams",,
"f7dbf4ee-3867-4621-9b4f-3f9134f3c517","Caleb","Williams","20.7","287.7","QB10","QB","Chicago Bears",,
"9f9cc41c-ac2a-43bb-a06f-9c08a044ea79","Justin","Fields","21.0","296.0","QB11","QB","New York Jets",,
"60a154d6-7c9d-4651-95bb-c37f58b71939","Malik","Nabers","22.3","215.7","WR5","WR","New York Giants",,
"a98e2500-528e-49dc-b23d-d86dad92e9cb","Amon-Ra","St. Brown","23.0","223.2","WR6","WR","Detroit Lions",,
"028d778e-17a6-4f5a-b185-fffc64a5f5e7","Brock","Purdy","24.0","305.4","QB12","QB","San Francisco 49ers",,
